Rank,Name,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate
99.0,University of Georgia,30690.0,37606.0,14625.0,10076.0,44978.0,100700.0,54.0
100.0,Case Western Reserve University,5292.0,11824.0,35316.0,28295.0,65384.0,117800.0,33.0
101.0,Skidmore College,2684.0,2835.0,27410.0,41746.0,69450.0,99700.0,25.0
102.0,Occidental College,1972.0,2123.0,29211.0,35704.0,71756.0,105700.0,42.0
103.0,"Texas A&amp;M University, College Station",53515.0,67929.0,20282.0,8748.0,53848.0,115700.0,71.0
104.0,Union College (NY),2214.0,2267.0,32720.0,29135.0,68610.0,117500.0,37.0
105.0,Reed College,1470.0,1490.0,31815.0,35130.0,69820.0,104900.0,36.0
106.0,Tulane University,8873.0,12384.0,34240.0,33035.0,69764.0,105300.0,21.0
107.0,Bentley University,4352.0,5543.0,35671.0,26565.0,66180.0,116600.0,44.0
108.0,Virginia Tech,26634.0,34440.0,20343.0,8261.0,44024.0,114000.0,70.0
109.0,Trinity College (CT),2282.0,2401.0,31808.0,40346.0,71470.0,110900.0,34.0
110.0,Rose-Hulman Institute of Technology,2245.0,2254.0,36906.0,20967.0,65031.0,135800.0,61.0
111.0,Bryn Mawr College,1442.0,1640.0,25672.0,37710.0,68410.0,95300.0,38.0
112.0,Rhode Island School of Design,2030.0,2440.0,46277.0,26169.0,67620.0,100600.0,32.0
113.0,Rensselaer Polytechnic Institute,6371.0,7592.0,34839.0,30596.0,70132.0,134100.0,43.0
114.0,Franklin and Marshall College,2283.0,2440.0,27531.0,43377.0,70430.0,109700.0,34.0
115.0,"California Polytechnic State University, San Luis Obispo",21098.0,22370.0,19979.0,5891.0,39033.0,119500.0,35.0
116.0,St. Olaf College,3035.0,3137.0,24250.0,28573.0,58330.0,101900.0,43.0
117.0,Pennsylvania State University,43709.0,47119.0,30373.0,10060.0,51572.0,105500.0,50.0
118.0,Purdue University,32534.0,42699.0,13746.0,10703.0,41614.0,110000.0,57.0
119.0,The Juilliard School,590.0,927.0,32829.0,29417.0,62600.0,97400.0,6.0
120.0,Dickinson College,2382.0,2422.0,28464.0,34171.0,69071.0,100100.0,49.0
121.0,Ohio State University,49185.0,59837.0,17726.0,9730.0,46141.0,98600.0,48.0
122.0,Wheaton College (IL),2544.0,2900.0,28005.0,16173.0,47696.0,99700.0,85.0
123.0,Rutgers University,40523.0,49577.0,20379.0,13896.0,47518.0,111000.0,58.0
124.0,Loyola Marymount University,6591.0,9618.0,40676.0,19787.0,64735.0,113300.0,52.0
125.0,University of Portland,3967.0,4396.0,35329.0,23282.0,59236.0,104900.0,70.0
126.0,American University,8606.0,13858.0,36567.0,29412.0,64234.0,102900.0,29.0
127.0,Furman University,2863.0,2949.0,27508.0,30434.0,63706.0,98800.0,61.0
128.0,Connecticut College,1817.0,1928.0,30244.0,39603.0,69440.0,100800.0,38.0
129.0,Pepperdine University,3803.0,7710.0,33814.0,31980.0,70862.0,103900.0,40.0
130.0,University of Connecticut,20662.0,27578.0,20681.0,13630.0,53112.0,105200.0,48.0
