,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon
141,142,University of San Diego,San Diego,CA,Private,6177,8905,34752,24364,65426,109400,50,1180,1350,26,30,www.sandiego.edu,32.7174202,-117.1627728
142,143,Trinity University (TX),San Antonio,TX,Private,2406,2571,23144,26174,56880,102900,38,1230,1410,27,32,web.trinity.edu,29.4246002,-98.4951405
143,144,University of Pittsburgh,Pittsburgh,PA,Public,20822,28642,28331,12484,44812,100400,60,1240,1418,27,32,www.pitt.edu,40.4416941,-79.9900861
144,145,"Binghamton University, SUNY",Binghamton,NY,Public,14736,17351,18378,8062,40980,109600,40,1290,1431,28,31,www.binghamton.edu,42.096968,-75.914341
145,146,"University of Colorado, Boulder",Boulder,CO,Public,30976,35338,20706,9787,54312,109900,80,1150,1340,25,30,www.colorado.edu,40.0149856,-105.2705456
146,147,University of Delaware,Newark,DE,Public,20550,23774,16892,8798,47782,105400,63,1130,1330,25,29,www.udel.edu,39.6852191,-75.7508289
147,148,Texas Christian University,Fort Worth,TX,Private,9258,10489,35429,24864,62970,98700,41,1130,1330,25,30,www.tcu.edu,32.753177,-97.3327459
148,149,College of New Jersey,Ewing,NJ,Public,7212,7552,26670,9936,45897,101800,48,1170,1330,,,www.tcnj.edu,40.2688105,-74.8006895
149,150,Rhodes College,Memphis,TN,Private,2010,2102,25629,30234,61538,97800,51,1220,1410,27,32,www.rhodes.edu,35.1490215,-90.0516285
150,151,Florida State University,Tallahassee,FL,Public,36787,41362,14582,6628,34904,92700,49,1190,1330,26,30,www.fsu.edu,30.4380832,-84.2809332
151,152,Stevens Institute of Technology,Hoboken,NJ,Private,3144,6916,36620,25762,67204,139900,44,1320,1470,29,33,www.stevens.edu/sit,40.7433066,-74.0323752
152,153,Denison University,Granville,OH,Private,2290,2341,24808,30783,64970,104800,37,1200,1380,28,31,www.denison.edu,40.0681192,-82.5196037
153,154,Sewanee—University of the South,Sewanee,TN,Private,1778,1835,27544,23449,60950,97800,47,,,,,www.sewanee.edu,35.2031373,-85.9210899
154,155,"University of Massachusetts, Amherst",Amherst,MA,Public,26735,30340,20926,8867,48135,103000,58,1180,1360,26,31,www.umass.edu,42.3685658,-72.505714
155,156,Syracuse University,Syracuse,NY,Private,22484,28199,34173,27878,65480,104800,47,1160,1350,25,30,www.syracuse.edu,43.0481221,-76.1474244
156,157,Sarah Lawrence College,Bronxville,NY,Private,1470,1696,33358,28916,70266,96100,53,1240,1410,27,31,www.slc.edu,40.9381544,-73.8320784
157,158,St. Lawrence University,Canton,NY,Private,2468,2493,27691,31866,68296,104000,48,1205,1365,26,30,www.stlawu.edu,44.5956163,-75.1690942
158,159,Michigan State University,East Lansing,MI,Public,42252,50019,18576,10911,53424,100800,72,1100,1320,23,28,www.msu.edu,42.7355416,-84.4852469
159,160,University of Iowa,Iowa City,IA,Public,27051,32166,15103,8045,44251,99400,86,1140,1370,23,28,www.uiowa.edu,41.6612561,-91.5299106
160,161,Saint Louis University,St. Louis,MO,Private,14373,14581,27341,23580,57214,95300,64,1170,1390,25,31,www.slu.edu,38.6264178,-90.1998378
161,162,Seattle University,Seattle,WA,Private,5250,7278,35021,22438,59607,113700,74,1130,1330,24,29,www.seattleu.edu/default.aspx,47.6038321,-122.3300624
162,163,Manhattan School of Music,New York,NY,Private,451,1007,47116,24906,66200,,43,,,,,,40.7127281,-74.0060152
163,164,Kalamazoo College,Kalamazoo,MI,Private,1436,1469,23579,29059,59267,94500,73,1180,1380,26,30,www.kzoo.edu,42.291707,-85.5872286
164,165,University of Dayton,Dayton,OH,Private,8660,10882,32721,21293,57680,105000,72,1100,1310,24,29,www.udayton.edu,39.7589478,-84.1916069
165,166,Auburn University,Auburn,AL,Public,23846,29776,23416,9030,49954,104500,84,1130,1310,24,30,www.auburn.edu,32.713387,-85.465079
166,167,Saint Joseph's University (PA),Philadelphia,PA,Private,5705,8085,33480,23892,60854,105100,77,1110,1290,23,28,www.sju.edu,39.9527237,-75.1635262
167,168,University of Vermont,Burlington,VT,Public,12945,13340,18877,16347,56890,99400,67,1180,1350,25,30,www.uvm.edu,44.4761601,-73.212906
168,169,Samford University,Birmingham,AL,Private,3446,5509,29032,14879,46474,90500,83,1080,1280,23,29,www.samford.edu,33.5206824,-86.8024326
169,170,Gonzaga University,Spokane,WA,Private,5333,7506,32623,21169,57350,107600,65,1180,1350,26,30,www.gonzaga.edu,47.6571934,-117.4235106
170,171,Wofford College,Spartanburg,SC,Private,1678,1737,24722,28158,57749,96600,69,1120,1310,29,30,www.wofford.edu,34.9498007,-81.9320157
171,172,Providence College,Providence,RI,Private,4484,4646,38823,26359,64984,106900,52,1160,1330,26,30,www.providence.edu/Pages/default.aspx,41.8239891,-71.4128343
172,173,University of Puget Sound,Tacoma,WA,Private,2545,2701,37074,21534,63510,101300,84,,,,,www.pugetsound.edu,47.2495798,-122.4398746
173,174,"CUNY, Baruch College",New York,NY,Public,18289,18775,2695,8944,39172,107100,29,1190,1350,,,www.baruch.cuny.edu,40.7127281,-74.0060152
174,175,Loyola University Maryland,Baltimore,MD,Private,4175,5783,36350,26091,64520,111200,75,,,,,www.loyola.edu,39.2908816,-76.610759
175,176,"SUNY, Stony Brook (Stony Brook University)",Stony Brook,NY,Public,19871,25989,13770,9968,42981,107800,42,1210,1410,26,31,www.stonybrook.edu,40.9087015,-73.1396036
176,177,George Mason University,Fairfax,VA,Public,32249,35984,19779,8567,51672,105700,81,1100,1290,24,30,www.gmu.edu,38.8462236,-77.3063733
177,178,Chapman University,Orange,CA,Private,6756,9392,39228,26378,69464,99400,57,1190,1360,25,30,www.chapman.edu,33.7500378,-117.8704931
178,179,Muhlenberg College,Allentown,PA,Private,2367,2535,31014,25282,65330,101900,48,1140,1340,25,30,www.muhlenberg.edu,40.6022059,-75.4712794
179,180,Marquette University,Milwaukee,WI,Private,8486,11426,29120,20717,55273,105900,89,1130,1310,24,29,www.marquette.edu,43.0349931,-87.922497
180,181,San Diego State University,San Diego,CA,Public,31609,35158,14030,7549,40104,102800,35,1090,1290,23,28,www.sdsu.edu,32.7174202,-117.1627728
181,182,Northeastern University,Boston,MA,Private,18760,21489,29748,34691,68177,109700,27,1370,1520,32,34,www.northeastern.edu,42.3602534,-71.0582912
182,183,"University of California, Santa Cruz",Santa Cruz,CA,Public,17925,19457,17877,18050,64054,104700,51,1160,1340,26,31,www.ucsc.edu,37.050096,-121.9905908
183,184,Lewis &amp; Clark College,Portland,OR,Private,2174,3339,34838,25539,62086,93200,71,1210,1390,27,31,www.lclark.edu,45.5202471,-122.6741949
184,185,Miami University (OH),Oxford,OH,Public,18239,19700,21288,11894,51064,107300,68,1190,1380,26,31,miamioh.edu,39.5103048,-84.7420519
185,186,"Arizona State University, Tempe",Tempe,AZ,Public,46038,51164,11163,12081,44110,100900,84,1120,1350,22,29,www.asu.edu,33.4255056,-111.9400125
186,187,University of Utah,Salt Lake City,UT,Public,28686,32800,13728,7990,42916,102600,66,1110,1350,22,29,www.utah.edu,40.7596198,-111.8867975
187,188,"University of Oklahoma, Norman",Norman,OK,Public,24255,28527,19254,9372,43764,100600,74,1150,1380,23,29,www.ou.edu,35.2225717,-97.4394816
188,189,Marist College,Poughkeepsie,NY,Private,6236,6657,35290,15637,54880,101000,43,,,,,www.marist.edu,41.7065539,-73.9283672
189,190,Hobart and William Smith Colleges,Geneva,NY,Private,2244,2295,35172,25110,69775,108500,64,1150,1330,25,30,www.hws.edu,42.8690271,-76.9786122
190,191,University of Oregon,Eugene,OR,Public,22400,22887,15693,8662,49542,95800,83,1080,1270,22,28,www.uoregon.edu,44.0505054,-123.0950506
191,192,Drake University,Des Moines,IA,Private,3606,4904,27578,21239,54020,99900,69,1100,1350,24,30,www.drake.edu,41.5910323,-93.6046655
192,193,Lawrence University,Appleton,WI,Private,1467,1545,25117,28643,58458,98800,61,1220,1460,25,32,www.lawrence.edu,44.2611337,-88.4067604
193,194,Creighton University,Omaha,NE,Private,4626,8654,30427,20293,53452,95800,72,1070,1290,25,30,www.creighton.edu,41.2587459,-95.9383758
194,195,Hillsdale College,Hillsdale,MI,Private,1520,1556,,18540,40552,,41,1280,1440,28,32,www.hillsdale.edu,41.8779105,-84.5984396
