Rank,Name,City,Code,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,lat,lon,State
152,Stevens Institute of Technology,Hoboken,NJ,Private,3144,6916,36620.0,25762.0,67204,139900.0,44.0,1320.0,1470.0,29.0,33.0,www.stevens.edu/sit,40.7433066,-74.0323752,New Jersey
153,Denison University,Granville,OH,Private,2290,2341,24808.0,30783.0,64970,104800.0,37.0,1200.0,1380.0,28.0,31.0,www.denison.edu,40.068119200000005,-82.5196037,Ohio
154,Sewanee—University of the South,Sewanee,TN,Private,1778,1835,27544.0,23449.0,60950,97800.0,47.0,,,,,www.sewanee.edu,35.203137299999995,-85.92108990000001,Tennessee
155,"University of Massachusetts, Amherst",Amherst,MA,Public,26735,30340,20926.0,8867.0,48135,103000.0,58.0,1180.0,1360.0,26.0,31.0,www.umass.edu,42.3685658,-72.505714,Massachusetts
156,Syracuse University,Syracuse,NY,Private,22484,28199,34173.0,27878.0,65480,104800.0,47.0,1160.0,1350.0,25.0,30.0,www.syracuse.edu,43.0481221,-76.1474244,New York
157,Sarah Lawrence College,Bronxville,NY,Private,1470,1696,33358.0,28916.0,70266,96100.0,53.0,1240.0,1410.0,27.0,31.0,www.slc.edu,40.9381544,-73.83207840000001,New York
158,St. Lawrence University,Canton,NY,Private,2468,2493,27691.0,31866.0,68296,104000.0,48.0,1205.0,1365.0,26.0,30.0,www.stlawu.edu,44.595616299999996,-75.1690942,New York
159,Michigan State University,East Lansing,MI,Public,42252,50019,18576.0,10911.0,53424,100800.0,72.0,1100.0,1320.0,23.0,28.0,www.msu.edu,42.735541600000005,-84.4852469,Michigan
160,University of Iowa,Iowa City,IA,Public,27051,32166,15103.0,8045.0,44251,99400.0,86.0,1140.0,1370.0,23.0,28.0,www.uiowa.edu,41.661256099999996,-91.5299106,Iowa
161,Saint Louis University,St. Louis,MO,Private,14373,14581,27341.0,23580.0,57214,95300.0,64.0,1170.0,1390.0,25.0,31.0,www.slu.edu,38.6264178,-90.1998378,Missouri
162,Seattle University,Seattle,WA,Private,5250,7278,35021.0,22438.0,59607,113700.0,74.0,1130.0,1330.0,24.0,29.0,www.seattleu.edu/default.aspx,47.6038321,-122.3300624,Washington
163,Manhattan School of Music,New York,NY,Private,451,1007,47116.0,24906.0,66200,,43.0,,,,,,40.7127281,-74.0060152,New York
164,Kalamazoo College,Kalamazoo,MI,Private,1436,1469,23579.0,29059.0,59267,94500.0,73.0,1180.0,1380.0,26.0,30.0,www.kzoo.edu,42.291707,-85.5872286,Michigan
165,University of Dayton,Dayton,OH,Private,8660,10882,32721.0,21293.0,57680,105000.0,72.0,1100.0,1310.0,24.0,29.0,www.udayton.edu,39.758947799999994,-84.1916069,Ohio
166,Auburn University,Auburn,AL,Public,23846,29776,23416.0,9030.0,49954,104500.0,84.0,1130.0,1310.0,24.0,30.0,www.auburn.edu,32.713387,-85.465079,Alabama
167,Saint Joseph's University (PA),Philadelphia,PA,Private,5705,8085,33480.0,23892.0,60854,105100.0,77.0,1110.0,1290.0,23.0,28.0,www.sju.edu,39.9527237,-75.16352619999999,Pennsylvania
168,University of Vermont,Burlington,VT,Public,12945,13340,18877.0,16347.0,56890,99400.0,67.0,1180.0,1350.0,25.0,30.0,www.uvm.edu,44.4761601,-73.212906,Vermont
169,Samford University,Birmingham,AL,Private,3446,5509,29032.0,14879.0,46474,90500.0,83.0,1080.0,1280.0,23.0,29.0,www.samford.edu,33.5206824,-86.80243259999999,Alabama
170,Gonzaga University,Spokane,WA,Private,5333,7506,32623.0,21169.0,57350,107600.0,65.0,1180.0,1350.0,26.0,30.0,www.gonzaga.edu,47.657193400000004,-117.42351059999999,Washington
171,Wofford College,Spartanburg,SC,Private,1678,1737,24722.0,28158.0,57749,96600.0,69.0,1120.0,1310.0,29.0,30.0,www.wofford.edu,34.949800700000004,-81.9320157,South Carolina
172,Providence College,Providence,RI,Private,4484,4646,38823.0,26359.0,64984,106900.0,52.0,1160.0,1330.0,26.0,30.0,www.providence.edu/Pages/default.aspx,41.8239891,-71.4128343,Rhode Island
173,University of Puget Sound,Tacoma,WA,Private,2545,2701,37074.0,21534.0,63510,101300.0,84.0,,,,,www.pugetsound.edu,47.24957979999999,-122.43987460000001,Washington
174,"CUNY, Baruch College",New York,NY,Public,18289,18775,2695.0,8944.0,39172,107100.0,29.0,1190.0,1350.0,,,www.baruch.cuny.edu,40.7127281,-74.0060152,New York
175,Loyola University Maryland,Baltimore,MD,Private,4175,5783,36350.0,26091.0,64520,111200.0,75.0,,,,,www.loyola.edu,39.2908816,-76.610759,Maryland
176,"SUNY, Stony Brook (Stony Brook University)",Stony Brook,NY,Public,19871,25989,13770.0,9968.0,42981,107800.0,42.0,1210.0,1410.0,26.0,31.0,www.stonybrook.edu,40.9087015,-73.1396036,New York
177,George Mason University,Fairfax,VA,Public,32249,35984,19779.0,8567.0,51672,105700.0,81.0,1100.0,1290.0,24.0,30.0,www.gmu.edu,38.8462236,-77.3063733,Virginia
