,Member Institution,Conference,Division
0,Abilene Christian University,Southland Conference,1
1,Alabama A&M University,Southwestern Athletic Conf.,1
2,Alabama State University,Southwestern Athletic Conf.,1
3,Alcorn State University,Southwestern Athletic Conf.,1
4,American University,Patriot League,1
5,Appalachian State University,Sun Belt Conference,1
6,Arizona State University,Pac-12 Conference,1
7,Arkansas State University,Sun Belt Conference,1
8,Auburn University,Southeastern Conference,1
9,Austin Peay State University,Ohio Valley Conference,1
10,Ball State University,Mid-American Conference,1
11,Baylor University,Big 12 Conference,1
12,Belmont University,Ohio Valley Conference,1
13,Bethune-Cookman University,Mid-Eastern Athletic Conf.,1
14,Binghamton University,America East Conference,1
15,Boise State University,Mountain West Conference,1
16,Boston College,Atlantic Coast Conference,1
17,Boston University,Patriot League,1
18,Bowling Green State University,Mid-American Conference,1
19,Bradley University,Missouri Valley Conference,1
20,Brigham Young University,West Coast Conference,1
21,Brown University,The Ivy League,1
22,Bryant University,Northeast Conference,1
23,Bucknell University,Patriot League,1
24,Butler University,Big East Conference,1
25,California Baptist University,Western Athletic Conference,1
26,California Polytechnic State University,Big West Conference,1
27,"California State University, Bakersfield",Western Athletic Conference,1
28,"California State University, Fresno",Mountain West Conference,1
29,"California State University, Fullerton",Big West Conference,1
30,"California State University, Northridge",Big West Conference,1
31,"California State University, Sacramento",Big Sky Conference,1
32,Campbell University,Big South Conference,1
33,Canisius College,Metro Atlantic Athletic Conference,1
34,Central Connecticut State University,Northeast Conference,1
35,Central Michigan University,Mid-American Conference,1
36,Charleston Southern University,Big South Conference,1
37,Chicago State University,Western Athletic Conference,1
38,Clemson University,Atlantic Coast Conference,1
39,Cleveland State University,Horizon League,1
40,Coastal Carolina University,Sun Belt Conference,1
41,Colgate University,Patriot League,1
42,College of Charleston (South Carolina),Colonial Athletic Association,1
43,College of the Holy Cross,Patriot League,1
44,Colorado State University,Mountain West Conference,1
45,Columbia University-Barnard College,The Ivy League,1
46,Coppin State University,Mid-Eastern Athletic Conf.,1
47,Cornell University,The Ivy League,1
48,Creighton University,Big East Conference,1
49,Dartmouth College,The Ivy League,1
50,Davidson College,Atlantic 10 Conference,1
51,Delaware State University,Mid-Eastern Athletic Conf.,1
52,DePaul University,Big East Conference,1
53,Drake University,Missouri Valley Conference,1
54,Drexel University,Colonial Athletic Association,1
55,Duke University,Atlantic Coast Conference,1
56,Duquesne University,Atlantic 10 Conference,1
57,East Carolina University,American Athletic Conference,1
58,East Tennessee State University,Southern Conference,1
59,Eastern Illinois University,Ohio Valley Conference,1
60,Eastern Kentucky University,Ohio Valley Conference,1
61,Eastern Michigan University,Mid-American Conference,1
62,Eastern Washington University,Big Sky Conference,1
63,Elon University,Colonial Athletic Association,1
64,Fairfield University,Metro Atlantic Athletic Conference,1
65,"Fairleigh Dickinson University, Metropolitan Campus",Northeast Conference,1
66,Florida A&M University,Mid-Eastern Athletic Conf.,1
67,Florida Atlantic University,Conference USA,1
68,Florida Gulf Coast University,ASUN Conference,1
69,Florida International University,Conference USA,1
70,Florida State University,Atlantic Coast Conference,1
